country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","20-07-2026 15:00:00",26.1209,85.3647,NO2,15,25,20
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","20-07-2026 15:00:00",26.1209,85.3647,CO,28,51,35
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","20-07-2026 15:00:00",25.592539,85.227158,PM2.5,39,45,43
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","20-07-2026 15:00:00",25.592539,85.227158,NH3,6,7,6
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-07-2026 15:00:00",25.599486,85.113666,NH3,2,3,3
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","20-07-2026 15:00:00",16.316553,80.413302,NO2,16,58,34
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","20-07-2026 15:00:00",16.316553,80.413302,SO2,13,20,14
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","20-07-2026 15:00:00",14.465052,78.824187,PM2.5,39,57,42
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","20-07-2026 15:00:00",14.465052,78.824187,NO2,27,29,28
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","20-07-2026 15:00:00",14.465052,78.824187,CO,20,25,23
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","20-07-2026 15:00:00",15.83411,78.028546,CO,7,12,9
India,"Andhra Pradesh",Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-07-2026 15:00:00",16.9872867,81.7363176,NH3,NA,NA,NA
India,"Andhra Pradesh",Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-07-2026 15:00:00",16.9872867,81.7363176,SO2,NA,NA,NA
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","20-07-2026 15:00:00",13.67,79.35,NH3,2,3,3
India,"Andhra Pradesh",Tirupati,"Vaikuntapuram, Tirupati - APPCB","20-07-2026 15:00:00",13.615387,79.40923,PM2.5,NA,NA,NA
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","20-07-2026 15:00:00",26.987634,94.636574,OZONE,32,44,39
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","20-07-2026 15:00:00",24.75746,84.366208,SO2,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","20-07-2026 15:00:00",25.42742023,86.13886079,CO,16,17,17
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","20-07-2026 15:00:00",26.80365,84.51954,NH3,2,4,3
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","20-07-2026 15:00:00",26.80365,84.51954,SO2,10,13,12
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","20-07-2026 15:00:00",25.265194,87.012947,PM2.5,NA,NA,NA
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","20-07-2026 15:00:00",25.265194,87.012947,NH3,0,2,2
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","20-07-2026 15:00:00",25.204762,85.51496,NH3,NA,NA,NA
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","20-07-2026 15:00:00",25.204762,85.51496,OZONE,2,2,2
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","20-07-2026 15:00:00",25.599486,85.113666,CO,9,99,36
India,Bihar,Patna,"Samanpura, Patna - BSPCB","20-07-2026 15:00:00",25.596727,85.085624,NO2,24,25,24
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","20-07-2026 15:00:00",25.610369,85.132568,PM10,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","20-07-2026 15:00:00",25.610369,85.132568,NO2,2,3,3
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","20-07-2026 15:00:00",25.610369,85.132568,NH3,NA,NA,NA
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","20-07-2026 15:00:00",25.586562,85.043586,NH3,8,9,9
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","20-07-2026 15:00:00",25.586562,85.043586,SO2,5,7,6
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","20-07-2026 15:00:00",25.0328,85.41948,NO2,13,15,14
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","20-07-2026 15:00:00",25.892357,86.590325,NH3,4,4,4
India,"Andhra Pradesh",Amaravati,"Secretariat, Amaravati - APPCB","20-07-2026 15:00:00",16.5150833,80.5181667,NH3,3,4,4
India,"Andhra Pradesh",Amaravati,"Secretariat, Amaravati - APPCB","20-07-2026 15:00:00",16.5150833,80.5181667,CO,1,10,5
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","20-07-2026 15:00:00",14.675886,77.593027,NH3,3,5,3
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","20-07-2026 15:00:00",14.675886,77.593027,CO,27,37,30
